@relation consumer-1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Resample-S40-Z22.32

@attribute 'School Age Children' numeric
@attribute Age numeric
@attribute 'Years at Current Employer' numeric
@attribute Salary numeric

@data
1,29,7,175000
2,26,4,68000
2,25,1,28000
1,65,6,92000
2,26,6,30000
2,54,23,85000
2,56,29,55000
1,25,1,35000
2,44,4,50000
2,49,6,80000
2,32,3,25000
1,37,15,70000
1,58,5,150000
2,34,11,47000
1,48,24,90000
2,61,12,38000
1,37,10,50000
1,32,5,25000
2,29,6,39940
2,32,7,30000
2,26,4,60000
2,27,2,40000
2,59,37,70000
1,39,12,150000
1,44,8,30000
2,61,1,55000
2,43,11,46000
1,29,2,40000
2,58,25,54000
2,25,3,44500
2,27,2,40000
2,62,30,99500
2,25,3,90000
1,42,15,45000
2,46,15,70000
2,28,3,71400
1,40,15,50000
2,45,20,65000
2,63,31,70000
1,56,25,100000
2,58,11,72000
1,37,7,53000
2,66,1,25000
1,44,7,75000
2,47,9,45000
1,31,1,39000
1,45,24,117000
2,25,3,102090
1,41,15,35000
1,59,7,26000
1,40,5,62000
2,30,1,40000
2,61,15,30000
2,46,8,104000
2,29,5,33280
1,49,20,60000
2,34,6,45000
2,25,2,32000
2,54,23,130000
2,30,5,74000
2,56,32,60000
2,34,9,45000
2,51,12,44600
1,29,5,60000
2,30,8,60000
1,26,4,40000
2,25,3,40000
1,41,15,35000
1,74,25,72000
1,25,6,56000
2,25,2,32960
2,25,6,32000
2,59,25,75000
1,38,10,42000
1,54,2,55000
1,53,26,54500
2,49,14,30000
1,26,4,40000
2,34,2,60000
1,51,30,78000
2,47,19,32000
2,36,4,45000
2,66,30,52000
1,38,10,42000
2,26,0,42000
1,37,7,53000
2,59,25,75000
2,66,40,56000
1,32,5,60000
1,50,10,62000
1,48,10,42500
2,42,6,60000
1,62,11,80000
1,50,11,100000
2,61,22,61000
1,59,7,80000
2,50,22,55000
2,51,22,40000
1,31,1,39000
