@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-4,7-11,13-29,32-40,42,45,47-103-weka.filters.supervised.instance.Resample-B0.0-S21-Z5.497'

@attribute pctBlack numeric
@attribute pctWhite numeric
@attribute pct65up numeric
@attribute persPoverty numeric
@attribute pctPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute Class {0,1}

@data
14.25,84.1,16.39,10560,18.77,11.93,15.13,13.72,63.92,0
38.54,58.59,19.4,5069,10.32,10.82,14.91,13.07,61.48,0
10.06,75.32,13.39,61681,12.38,12.76,15.79,14.32,66.72,0
3.37,94.39,11.95,1852,12.29,8.69,12.81,10.88,73.11,0
0.82,91.82,17.05,5980,21.65,15.48,17.92,16.79,61.04,0
31.74,67.21,13.65,5526,25.16,12.11,16.16,14.34,59.71,0
0.96,96.08,20.76,3948,9.28,11.5,14.6,13.17,71.5,0
0.76,80.06,11.94,14242,29.93,7.1,11.98,9.72,73.36,0
4.98,86.17,15.05,12999,12.86,10.68,13.27,12.07,65.5,0
20.39,76.19,14.67,1061,11.12,8.74,11.19,10.06,76.42,0
69.94,28.02,11.99,4605,35.13,17.1,19.22,18.29,34.82,0
13.79,83.94,13.65,904,5.75,10.45,13.36,11.99,77.22,0
1.39,64.47,10.25,3503,24.12,8.01,14.23,11.22,65.87,0
1.46,85.15,11.32,12016,11.21,10.43,15.68,13.12,73.13,0
2.35,24.26,9.67,5346,23.66,6.45,10.05,8.26,70.47,0
23.93,63.14,16.46,4212,33.39,11.85,15.26,13.67,59.73,0
2.17,74.65,9.13,10985,9.81,9.39,13,11.2,76.35,0
1.04,93.15,9.4,9348,7.6,12.52,17.24,14.97,71.09,0
39.57,57.92,16.32,2390,20.75,11.84,14.85,13.46,56.65,0
0.68,90.88,37.25,4985,14.05,10.76,13.42,12.24,62.1,0
18.08,80.73,13.49,8474,17.83,12.21,15.92,14.12,64.22,0
5.59,92.94,9.09,903,8.46,13.18,17.29,15.37,66.54,0
7.67,84.64,12.83,62058,14.53,14.55,17.45,16.07,66.43,0
0.53,89.16,12.65,2855,29.99,7.51,11.64,9.73,58.59,0
43.88,32.47,10.63,68781,18.82,13.22,17.89,15.68,52.13,0
7.58,81.61,15.26,9289,12.8,9.17,12.33,10.84,61.37,0
6.43,80.74,3.48,15614,7.07,12.91,16.43,14.62,75.08,0
58.98,40.54,16.32,6842,33.23,11.77,15.12,13.67,48.02,0
1.89,82.45,13.36,1680,15.28,10.96,13.25,12.15,75.49,0
21.6,69.23,12.71,9419,12.97,9.35,11.67,10.56,68.58,0
42.35,56.71,13.99,5282,21.33,12.14,15.79,14.22,56.41,0
5.18,88.3,24.28,22993,25.22,15.93,17.03,16.52,58.32,0
4.6,67.74,10.62,13036,9.8,10.37,14.97,12.74,73.5,0
0.69,98.39,10.12,918,6.25,9.25,11.78,10.59,75.54,1
1.35,90.5,15.84,935,8.72,6.12,9.05,7.63,79.27,1
12.07,82.57,8.72,1725,13.7,8.91,12.57,10.82,70.8,1
0.83,94.56,4.05,574,4.65,9.16,12.35,10.78,84.34,1
15.27,62.22,8.53,2746,24.2,12.02,14.01,13.03,73.62,1
0.43,98.9,18.14,1527,11.43,10.59,13.66,12.3,73.81,1
0.42,98.73,6.8,313,2.3,6.53,9.59,8.09,86.32,1
0.44,98.73,13.56,472,4.59,8.75,12.55,10.8,79.63,1
0.86,94.07,9.91,6902,15.34,10.25,12.78,11.55,76.98,1
0.82,97.6,15.01,1837,3.61,5.29,8.23,6.86,85.36,1
1.53,87.27,5.74,4045,3.71,8.66,12.49,10.59,82.82,1
4.72,93.76,15.63,758,3.04,3.44,6.03,4.85,86.06,1
0.13,98.74,10.66,1025,4.37,7.2,9.66,8.48,82,1
0.09,99.37,15.8,652,6.46,10.31,12.02,11.23,75.61,1
6.44,86.37,6.37,629,2.82,7.39,11.54,9.55,83.59,1
0.17,96.99,5.4,973,9.22,11.19,14.01,12.58,78.95,1
0.99,97.62,28.99,4788,7.42,11.73,13.81,12.87,69.53,1
